file,function,start_line,end_line
"extension.js","activate",10,30
"extension.js","runRcloneMany",27,47
"extension.js","getSelectedFileUris",114,134
"extension.js","getUploadBlockingDiagnostics",132,152
"extension.js","isErrorDiagnostic",176,196
"extension.js","isSameOrChildPath",180,200
"extension.js","normalizeFsPath",186,206
"extension.js","formatUploadBlockedMessage",192,212
"extension.js","getPushErrorsEnabled",201,221
"extension.js","makeRclonePasswd",205,225
"extension.js","getConfigSections",258,278
"extension.js","findLineIndex",276,296
"extension.js","obscureRclonePassword",286,306
"extension.js","buildUploadCommand",295,315
"extension.js","buildDownloadCommand",314,334
"extension.js","getRemoteDir",332,352
"extension.js","getLocalDir",338,358
"extension.js","toRemotePath",344,364
"extension.js","getRemoteRoot",348,368
"extension.js","joinRemotePath",352,372
"extension.js","getDefaultRcloneArgs",362,382
"extension.js","quoteShellArg",376,396
"extension.js","normalizePathForShell",386,406
"extension.js","getShellKind",394,414
"extension.js","getTerminal",418,432
"extension.js","deactivate",426,432
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","getState",38,58
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","loadState",40,60
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","getInstance",45,65
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","getDisplayName",56,76
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","createComponent",58,78
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","group",59,79
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","row",60,80
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","row",65,85
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","group",71,91
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","isModified",80,100
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","apply",85,105
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","reset",91,111
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","update",117,137
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","actionPerformed",125,145
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","buildRcloneCommand",159,179
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","openTerminal",192,212
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","remoteParent",198,218
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","joinRemotePath",205,225
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","shellQuote",208,228
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","findFirstFileWithFatalProblems",212,232
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","hasFatalProblems",228,248
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","makeRclonePasswd",237,257
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","obscureRclonePassword",285,305
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","configSections",300,320
"src/main/kotlin/com/pushpull/PushPullPlugin.kt","List",313,322